id,firstname,lastname,party,constituency,URI
332,Eamonn,Maloney,Labour,Dublin South West,http://www.kildarestreet.com/td/eamonn_maloney/dublin_south_west
172,Micheál,Martin,Fianna Fail,Cork South Central,http://www.kildarestreet.com/td/micheal_martin/cork_south_central
326,Peter,Mathews,Independent,Dublin South,http://www.kildarestreet.com/td/peter_mathews/dublin_south
173,Michael,McCarthy,Labour,Cork South West,http://www.kildarestreet.com/td/michael_mccarthy/cork_south_west
313,Charlie,McConalogue,Fianna Fail,Donegal North East,http://www.kildarestreet.com/td/charlie_mcconalogue/donegal_north_east
317,Mary Lou,McDonald,Sinn Fein,Dublin Central,http://www.kildarestreet.com/td/mary_lou_mcdonald/dublin_central
399,Helen,McEntee,Fine Gael,Meath East,http://www.kildarestreet.com/td/helen_mcentee/meath_east
183,Dinny,McGinley,Fine Gael,Donegal South West,http://www.kildarestreet.com/td/dinny_mcginley/donegal_south_west
184,Finian,McGrath,Independent,Dublin North Central,http://www.kildarestreet.com/td/finian_mcgrath/dublin_north_central
185,Mattie,McGrath,Independent,Tipperary South,http://www.kildarestreet.com/td/mattie_mcgrath/tipperary_south
186,Michael,McGrath,Fianna Fail,Cork South Central,http://www.kildarestreet.com/td/michael_mcgrath/cork_south_central
188,John,McGuinness,Fianna Fail,Carlow-Kilkenny,http://www.kildarestreet.com/td/john_mcguinness/carlow-kilkenny
189,Joe,McHugh,Fine Gael,Donegal North East,http://www.kildarestreet.com/td/joe_mchugh/donegal_north_east
306,Sandra,McLellan,Sinn Fein,Cork East,http://www.kildarestreet.com/td/sandra_mclellan/cork_east
349,Tony,McLoughlin,Fine Gael,Sligo-North Leitrim,http://www.kildarestreet.com/td/tony_mcloughlin/sligo-north_leitrim
304,Michael,McNamara,Labour,Clare,http://www.kildarestreet.com/td/michael_mcnamara/clare
194,Olivia,Mitchell,Fine Gael,Dublin South,http://www.kildarestreet.com/td/olivia_mitchell/dublin_south
316,Mary,Mitchell O'Connor,Fine Gael,Dún Laoghaire,http://www.kildarestreet.com/td/mary_mitchell_o%27connor/dun_laoghaire
200,Michael,Moynihan,Fianna Fail,Cork North West,http://www.kildarestreet.com/td/michael_moynihan/cork_north_west
345,Michelle,Mulherin,Fine Gael,Mayo,http://www.kildarestreet.com/td/michelle_mulherin/mayo
204,Catherine,Murphy,Independent,Kildare North,http://www.kildarestreet.com/td/catherine_murphy/kildare_north
308,Dara,Murphy,Fine Gael,Cork North Central,http://www.kildarestreet.com/td/dara_murphy/cork_north_central
331,Eoghan,Murphy,Fine Gael,Dublin South East,http://www.kildarestreet.com/td/eoghan_murphy/dublin_south_east
343,Gerald,Nash,Labour,Louth,http://www.kildarestreet.com/td/gerald_nash/louth
206,Denis,Naughten,Independent,Roscommon-South Leitrim,http://www.kildarestreet.com/td/denis_naughten/roscommon-south_leitrim
207,Dan,Neville,Fine Gael,Limerick,http://www.kildarestreet.com/td/dan_neville/limerick
334,Derek,Nolan,Labour,Galway West,http://www.kildarestreet.com/td/derek_nolan/galway_west
209,Michael,Noonan,Fine Gael,Limerick City,http://www.kildarestreet.com/td/michael_noonan/limerick_city
307,Jonathan,O'Brien,Sinn Fein,Cork North Central,http://www.kildarestreet.com/td/jonathan_o%27brien/cork_north_central
214,Willie,O'Dea,Fianna Fail,Limerick City,http://www.kildarestreet.com/td/willie_o%27dea/limerick_city
215,Kieran,O'Donnell,Fine Gael,Limerick City,http://www.kildarestreet.com/td/kieran_o%27donnell/limerick_city
340,Patrick,O'Donovan,Fine Gael,Limerick,http://www.kildarestreet.com/td/patrick_o%27donovan/limerick
219,Fergus,O'Dowd,Fine Gael,Louth,http://www.kildarestreet.com/td/fergus_o%27dowd/louth
225,John,O'Mahony,Fine Gael,Mayo,http://www.kildarestreet.com/td/john_o%27mahony/mayo
229,Joe,O'Reilly,Fine Gael,Cavan-Monaghan,http://www.kildarestreet.com/td/joe_o%27reilly/cavan-monaghan
233,Jan,O'Sullivan,Labour,Limerick City,http://www.kildarestreet.com/td/jan_o%27sullivan/limerick_city
294,Maureen,O'Sullivan,Independent,Dublin Central,http://www.kildarestreet.com/td/maureen_o%27sullivan/dublin_central
239,Willie,Penrose,Labour,Longford-Westmeath,http://www.kildarestreet.com/td/willie_penrose/longford-westmeath
240,John,Perry,Fine Gael,Sligo-North Leitrim,http://www.kildarestreet.com/td/john_perry/sligo-north_leitrim
300,Ann,Phelan,Labour,Carlow-Kilkenny,http://www.kildarestreet.com/td/ann_phelan/carlow-kilkenny
290,John Paul,Phelan,Fine Gael,Carlow-Kilkenny,http://www.kildarestreet.com/td/john_paul_phelan/carlow-kilkenny
314,Thomas,Pringle,Independent,Donegal South West,http://www.kildarestreet.com/td/thomas_pringle/donegal_south_west
238,Ruairi,Quinn,Labour,Dublin South East,http://www.kildarestreet.com/td/ruairi_quinn/dublin_south_east
282,Pat,Rabbitte,Labour,Dublin South West,http://www.kildarestreet.com/td/pat_rabbitte/dublin_south_west
241,James,Reilly,Fine Gael,Dublin North,http://www.kildarestreet.com/td/james_reilly/dublin_north
242,Michael,Ring,Fine Gael,Mayo,http://www.kildarestreet.com/td/michael_ring/mayo
244,Shane,Ross,Independent,Dublin South,http://www.kildarestreet.com/td/shane_ross/dublin_south
245,Brendan ,Ryan,Labour,Dublin North,http://www.kildarestreet.com/td/brendan__ryan/dublin_north
6,Alan,Shatter,Fine Gael,Dublin South,http://www.kildarestreet.com/td/alan_shatter/dublin_south
256,Seán,Sherlock,Labour,Cork East,http://www.kildarestreet.com/td/sean_sherlock/cork_east
257,Róisín,Shortall,Independent,Dublin North West,http://www.kildarestreet.com/td/roisin_shortall/dublin_north_west
258,Brendan,Smith,Fianna Fail,Cavan-Monaghan,http://www.kildarestreet.com/td/brendan_smith/cavan-monaghan
335,Arthur,Spring,Labour,Kerry North-West Limerick,http://www.kildarestreet.com/td/arthur_spring/kerry_north-west_limerick
260,Emmet,Stagg,Labour,Kildare North,http://www.kildarestreet.com/td/emmet_stagg/kildare_north
356,Brian,Stanley,Sinn Fein,Laois-Offaly,http://www.kildarestreet.com/td/brian_stanley/laois-offaly
261,David,Stanton,Fine Gael,Cork East,http://www.kildarestreet.com/td/david_stanton/cork_east
348,Peadar,Tóibín,Sinn Fein,Meath West,http://www.kildarestreet.com/td/peadar_toibin/meath_west
18,Billy,Timmins,Independent,Wicklow,http://www.kildarestreet.com/td/billy_timmins/wicklow
341,Robert,Troy,Fianna Fail,Longford-Westmeath,http://www.kildarestreet.com/td/robert_troy/longford-westmeath
264,Joanna,Tuffy,Labour,Dublin Mid West,http://www.kildarestreet.com/td/joanna_tuffy/dublin_mid_west
265,Liam,Twomey,Fine Gael,Wexford,http://www.kildarestreet.com/td/liam_twomey/wexford
267,Leo,Varadkar,Fine Gael,Dublin West,http://www.kildarestreet.com/td/leo_varadkar/dublin_west
269,Jack,Wall,Labour,Kildare South,http://www.kildarestreet.com/td/jack_wall/kildare_south
299,Mick,Wallace,Independent,Wexford,http://www.kildarestreet.com/td/mick_wallace/wexford
360,Brian,Walsh,Independent,Galway West,http://www.kildarestreet.com/td/brian_walsh/galway_west
275,Alex,White,Labour,Dublin South,http://www.kildarestreet.com/td/alex_white/dublin_south
